iter	Passed	Remaining
527	1873	1674
528	1877	1671
529	1881	1668
530	1884	1664
531	1888	1661
532	1891	1657
533	1894	1653
534	1898	1649
535	1901	1646
536	1904	1642
537	1907	1638
538	1911	1634
539	1914	1630
540	1917	1626
541	1920	1622
542	1923	1618
543	1928	1616
544	1932	1612
545	1936	1610
546	1939	1606
547	1942	1602
548	1945	1598
549	1949	1594
550	1952	1591
551	1955	1587
552	1958	1583
553	1961	1579
554	1964	1574
555	1967	1570
556	1969	1566
557	1972	1562
558	1975	1558
559	1978	1554
560	1981	1550
561	1984	1546
562	1987	1542
563	1990	1538
564	1993	1534
565	1996	1531
566	1999	1526
567	2002	1523
568	2005	1518
569	2008	1514
570	2010	1510
571	2013	1506
572	2016	1502
573	2019	1498
574	2021	1494
575	2025	1490
576	2027	1486
577	2030	1482
578	2033	1478
579	2036	1474
580	2039	1470
581	2042	1466
582	2045	1462
583	2047	1458
584	2050	1454
585	2053	1450
586	2056	1446
587	2058	1442
588	2061	1438
589	2064	1434
590	2067	1430
591	2070	1426
592	2072	1422
593	2075	1418
594	2078	1414
595	2081	1410
596	2084	1407
597	2087	1403
598	2090	1399
599	2093	1395
600	2096	1391
601	2099	1387
602	2102	1383
603	2104	1380
604	2108	1376
605	2110	1372
606	2113	1368
607	2116	1364
608	2118	1360
609	2121	1356
610	2124	1352
611	2127	1348
612	2129	1344
613	2132	1340
614	2134	1336
615	2137	1332
616	2140	1328
617	2142	1324
618	2145	1320
619	2148	1316
620	2150	1312
621	2153	1308
622	2156	1304
623	2159	1301
624	2161	1297
625	2164	1293
626	2174	1293
627	2176	1289
628	2179	1285
629	2182	1281
630	2184	1277
631	2187	1273
632	2190	1270
633	2193	1266
634	2195	1262
635	2198	1258
636	2201	1254
637	2204	1250
638	2206	1246
639	2209	1242
640	2212	1238
641	2214	1235
642	2217	1231
643	2220	1227
644	2223	1223
645	2226	1219
646	2228	1215
647	2231	1211
648	2233	1208
649	2236	1204
650	2239	1200
651	2242	1196
652	2244	1192
653	2247	1189
654	2250	1185
655	2253	1181
656	2256	1177
657	2258	1173
658	2261	1170
659	2263	1166
660	2266	1162
661	2269	1158
662	2272	1154
663	2274	1151
664	2277	1147
665	2280	1143
666	2282	1139
667	2285	1136
668	2288	1132
669	2291	1128
670	2294	1124
671	2297	1121
672	2299	1117
673	2302	1113
674	2305	1110
675	2308	1106
676	2310	1102
677	2313	1098
678	2316	1095
679	2319	1091
680	2321	1087
681	2324	1083
682	2327	1080
683	2329	1076
684	2332	1072
685	2334	1068
686	2337	1065
687	2340	1061
688	2342	1057
689	2345	1053
690	2348	1050
691	2351	1046
692	2353	1042
693	2356	1038
694	2358	1035
695	2361	1031
696	2364	1027
697	2366	1024
698	2369	1020
699	2371	1016
700	2374	1012
701	2377	1009
702	2379	1005
703	2382	1001
704	2385	998
705	2387	994
706	2390	990
707	2393	987
708	2395	983
709	2398	979
710	2401	976
711	2404	972
712	2406	968
713	2409	965
714	2412	961
715	2414	957
716	2417	954
717	2420	950
718	2422	946
719	2425	943
720	2427	939
721	2430	935
722	2433	932
723	2435	928
724	2438	924
725	2441	921
726	2443	917
727	2447	914
728	2449	910
729	2452	906
730	2454	903
731	2457	899
732	2460	896
733	2462	892
734	2465	888
735	2468	885
736	2470	881
737	2473	878
738	2476	874
739	2479	871
740	2482	867
741	2484	864
742	2487	860
743	2489	856
744	2492	853
745	2495	849
746	2498	846
747	2500	842
748	2503	839
749	2506	835
750	2508	831
751	2511	828
752	2514	824
753	2516	821
754	2519	817
755	2522	814
756	2524	810
757	2527	806
758	2530	803
759	2532	799
760	2535	796
761	2538	792
762	2540	789
763	2543	785
764	2546	782
765	2548	778
766	2551	775
767	2553	771
768	2556	767
769	2559	764
770	2561	760
771	2564	757
772	2566	753
773	2569	750
774	2572	746
775	2575	743
776	2577	739
777	2580	736
778	2583	732
779	2585	729
780	2588	725
781	2590	722
782	2593	718
783	2596	715
784	2599	711
785	2601	708
786	2604	704
787	2607	701
788	2609	697
789	2612	694
790	2614	690
791	2617	687
792	2620	683
793	2622	680
794	2625	676
795	2627	673
796	2630	670
797	2633	666
798	2636	663
799	2638	659
800	2641	656
801	2643	652
802	2646	649
803	2649	645
804	2651	642
805	2654	639
806	2657	635
807	2660	632
808	2662	628
809	2665	625
810	2668	621
811	2671	618
812	2674	615
813	2677	611
814	2679	608
815	2682	604
816	2685	601
817	2687	598
818	2690	594
819	2692	591
820	2695	587
821	2698	584
822	2701	580
823	2703	577
824	2706	574
825	2709	570
826	2711	567
827	2714	563
828	2717	560
829	2719	557
830	2722	553
831	2725	550
832	2727	546
833	2730	543
834	2732	540
835	2735	536
836	2738	533
837	2740	529
838	2743	526
839	2745	523
840	2748	519
841	2751	516
842	2754	512
843	2756	509
844	2759	506
845	2762	502
846	2764	499
847	2767	496
848	2770	492
849	2773	489
850	2776	486
851	2778	482
852	2781	479
853	2784	475
854	2786	472
855	2789	469
856	2792	465
857	2795	462
858	2797	459
859	2800	455
860	2802	452
861	2805	449
862	2808	445
863	2810	442
864	2813	439
865	2816	435
866	2818	432
867	2821	429
868	2824	425
869	2826	422
870	2829	419
871	2832	415
872	2835	412
873	2837	409
874	2840	405
875	2842	402
876	2846	399
877	2848	395
878	2851	392
879	2854	389
880	2857	385
881	2860	382
882	2863	379
883	2865	376
884	2868	372
885	2870	369
886	2873	366
887	2876	362
888	2878	359
889	2881	356
890	2884	352
891	2886	349
892	2889	346
893	2892	342
894	2894	339
895	2897	336
896	2900	333
897	2902	329
898	2905	326
899	2908	323
900	2911	319
901	2913	316
902	2916	313
903	2918	309
904	2921	306
905	2924	303
906	2927	300
907	2929	296
908	2932	293
909	2935	290
910	2937	286
911	2940	283
912	2942	280
913	2945	277
914	2948	273
915	2951	270
916	2953	267
917	2956	264
918	2959	260
919	2962	257
920	2964	254
921	2967	251
922	2969	247
923	2972	244
924	2975	241
925	2978	237
926	2981	234
927	2983	231
928	2986	228
929	2989	224
930	2991	221
931	2994	218
932	2997	215
933	2999	211
934	3002	208
935	3005	205
936	3007	202
937	3010	198
938	3013	195
939	3015	192
940	3018	189
941	3021	186
942	3023	182
943	3026	179
944	3029	176
945	3031	173
946	3034	169
947	3036	166
948	3039	163
949	3042	160
950	3044	156
951	3047	153
952	3050	150
953	3052	147
954	3055	143
955	3058	140
956	3060	137
957	3063	134
958	3065	131
959	3068	127
960	3071	124
961	3074	121
962	3077	118
963	3079	115
964	3082	111
965	3085	108
966	3088	105
967	3090	102
968	3093	98
969	3096	95
970	3099	92
971	3101	89
972	3104	86
973	3107	82
974	3109	79
975	3112	76
976	3115	73
977	3118	70
978	3121	66
979	3124	63
980	3127	60
981	3129	57
982	3132	54
983	3135	50
984	3138	47
985	3141	44
986	3143	41
987	3146	38
988	3149	35
989	3152	31
990	3155	28
991	3157	25
992	3160	22
993	3163	19
994	3165	15
995	3168	12
996	3171	9
997	3174	6
998	3176	3
999	3179	0
